word1,word2,score
inevitable,inevyitable,0.95
elbativeni,inevyitable,0.29
inevitable,elbatiyveni,0.29
elbativeni,elbatiyveni,0.95
Computing,Service,0.12
gnitupmoC,Service,0.12
Computing,ecivreS,0.12
gnitupmoC,ecivreS,0.12
visit,visited,0.83
tisiv,visited,0.5
visit,detisiv,0.5
tisiv,detisiv,0.83
magnefision,magnificent,0.64
noisifengam,magnificent,0.45
magnefision,tnecifingam,0.45
noisifengam,tnecifingam,0.64
aposit,opposite,0.71
tisopa,opposite,0.29
aposit,etisoppo,0.29
tisopa,etisoppo,0.71
galleroy,gallery,0.93
yorellag,gallery,0.27
galleroy,yrellag,0.27
yorellag,yrellag,0.93
spenlid,splendid,0.8
dilneps,splendid,0.27
spenlid,didnelps,0.27
dilneps,didnelps,0.8
purpal,purple,0.83
laprup,purple,0.5
purpal,elprup,0.5
laprup,elprup,0.83
cartin,curtains,0.71
nitrac,curtains,0.29
cartin,sniatruc,0.29
nitrac,sniatruc,0.71
wrot,wrote,0.89
torw,wrote,0.22
wrot,etorw,0.22
torw,etorw,0.89
politray,poetry,0.71
yartilop,poetry,0.14
politray,yrteop,0.14
yartilop,yrteop,0.71
understan,understand,0.95
natsrednu,understand,0.32
understan,dnatsrednu,0.32
natsrednu,dnatsrednu,0.95
latec,latest,0.73
cetal,latest,0.36
latec,tsetal,0.36
cetal,tsetal,0.73
poven,poems,0.6
nevop,poems,0.2
poven,smeop,0.2
nevop,smeop,0.6
stranch,strange,0.71
hcnarts,strange,0.14
stranch,egnarts,0.14
hcnarts,egnarts,0.71
pernated,pretend,0.67
detanrep,pretend,0.4
pernated,dneterp,0.4
detanrep,dneterp,0.67
realy,really,0.91
ylaer,really,0.18
realy,yllaer,0.18
ylaer,yllaer,0.91
sapshal,special,0.57
lahspas,special,0.43
sapshal,laiceps,0.43
lahspas,laiceps,0.57
repeparan,refreshment,0.4
narapeper,refreshment,0.3
repeparan,tnemhserfer,0.3
